"annual_kwh";"sq_meters";"epc_label";"building_era";"income_euro";"occupancy_count";"dist_to_brussels";"roof_color";"pet_ownership"
"337";4263.11;134.77;"B";"Post-2000";44010.91;3;73.58;"Red";"0"
"338";3273.78;122.37;"C";"1970-2000";26817.56;2;22.21;"Black";"0"
"339";4343.82;228.46;"A";"Post-2000";57757.65;1;79.44;"Black";"0"
"340";4389.03;189.88;"A";"Post-2000";55203.84;3;104.51;"Red";"1"
"341";4361;130.85;"C";"1970-2000";54899.11;2;23.84;"Other";"0"
"342";3938.5;150.23;"B";"Post-2000";52189.8;3;70.97;"Red";"1"
"343";4516.15;169.59;"C";"1970-2000";76723.06;1;20.48;"Black";"1"
"344";5097.84;141.64;"B";"Post-2000";32764.38;4;107.84;"Black";"0"
"345";2705.67;106.72;"D";"1970-2000";33877.9;1;30.4;"Red";"0"
"346";5515.18;166.78;"A";"Post-2000";61768.14;5;105.22;"Other";"0"
"347";13102.49;205.46;"E";"Pre-1970";58150.1;7;9.91;"Other";"1"
"348";4629.93;204.29;"C";"1970-2000";73057.45;2;34.06;"Other";"0"
"349";8657.7;165.54;"E";"Pre-1970";44129.08;5;11.97;"Other";"1"
"350";3642.79;156.05;"A";"Post-2000";58236.42;3;101.72;"Red";"1"
"351";7865.41;180.36;"F";"Pre-1970";73540.21;5;109.03;"Other";"0"
"352";3255.47;148.67;"A";"Post-2000";32292.4;1;80.62;"Black";"0"
"353";3969.96;183.35;"E";"Pre-1970";98038.2;1;68.53;"Other";"1"
"354";4622.46;74.02;"F";"Pre-1970";31936.05;4;42.09;"Other";"0"
"355";4781.93;116.91;"E";"Pre-1970";21260.99;4;57.68;"Black";"1"
"356";4218.21;141.33;"A";"Post-2000";41948.7;5;80.8;"Other";"0"
"357";5808.8;178.27;"C";"Pre-1970";48623.53;3;32.97;"Black";"1"
"358";4600.81;125.17;"D";"1970-2000";32615.48;4;20.2;"Other";"0"
"359";6522.62;114.62;"F";"Pre-1970";28075.06;5;58.94;"Black";"0"
"360";4995.94;151.97;"A";"Post-2000";32789.21;5;70.03;"Black";"0"
"361";3408.3;170.48;"B";"1970-2000";73485.12;1;69.37;"Other";"1"
"362";7666.47;159.76;"F";"Pre-1970";17235.07;6;32;"Other";"0"
"363";6133;94.85;"A";"Post-2000";17311.18;7;25.95;"Red";"0"
"364";5486.55;150.78;"C";"1970-2000";24810.07;4;77.92;"Red";"1"
"365";4492.88;134.58;"C";"1970-2000";71854.33;3;31.73;"Red";"1"
"366";9542.64;217.24;"D";"Pre-1970";66349.5;6;85.78;"Black";"0"
"367";7390.25;133.09;"C";"1970-2000";30358;7;103.65;"Red";"0"
"368";5293.48;102.66;"D";"1970-2000";45289.65;5;62.59;"Black";"0"
"369";4004330;133.92;"D";"1970-2000";58718.83;2;107.05;"Black";"0"
"370";4901.27;162.05;"E";"Pre-1970";55176.44;1;101.78;"Black";"0"
"371";4284.08;211.26;"C";"1970-2000";56352.11;1;23.02;"Black";"1"
"372";4322.3;143.04;"F";"Pre-1970";48476.78;1;102.67;"Other";"1"
"373";5701.85;157.47;"C";"1970-2000";51377.47;4;30.27;"Other";"1"
"374";5845.16;149.7;"F";"Pre-1970";23199.72;3;71.43;"Black";"1"
"375";7114.75;236.67;"E";"Pre-1970";114877.21;3;26.03;"Black";"0"
"376";4708.17;141.94;"A";"Post-2000";40818.78;5;76.43;"Red";"1"
"377";7516.22;164.52;"A";"Post-2000";55350.83;7;43.55;"Other";"0"
"378";4419.5;120.06;"A";"Post-2000";24038.28;3;96.36;"Black";"0"
"379";3095.95;149.65;"D";"Pre-1970";37633.58;1;38.82;"Red";"1"
"380";7144.36;185.32;"C";"1970-2000";62333.67;5;86.31;"Black";"1"
"381";5725.12;116.03;"C";"1970-2000";47378.62;4;56.43;"Black";"1"
"382";9699.82;151.28;"C";"1970-2000";49904.99;7;81.82;"Black";"1"
"383";2404.11;108.28;"C";"1970-2000";24642.51;1;35.04;"Other";"0"
"384";6660.88;179.1;"C";"1970-2000";55352.32;5;92.32;"Other";"1"
"385";4413.59;139.94;"A";"Post-2000";35242.33;5;9.42;"Black";"0"
"386";4496.75;91.69;"B";"Post-2000";21009.74;5;107.18;"Other";"0"
"387";4836.17;179.83;"A";"Post-2000";58692.63;4;17.23;"Black";"0"
"388";3788.78;98.6;"C";"1970-2000";44670.96;3;76.91;"Other";"0"
"389";5704.93;160.78;"C";"1970-2000";31880.53;4;76.16;"Red";"0"
"390";7056.22;120.15;"F";"Pre-1970";50203.75;6;90.4;"Black";"1"
"391";9044.49;166.74;"E";"Pre-1970";19217.33;6;38.3;"Other";"1"
"392";7522.11;220.3;"E";"Pre-1970";113040.41;5;70.5;"Other";"0"
"393";2718.39;107.4;"A";"Post-2000";15330.57;2;87.3;"Red";"0"
"394";4887.9;130.85;"A";"Post-2000";51390.62;5;63.9;"Red";"0"
"395";5222.8;102.59;"A";"Post-2000";40039.22;7;77.34;"Other";"0"
"396";2984.73;136.78;"A";"Post-2000";26075;3;24.06;"Red";"1"
"397";4940.03;123.46;"F";"Pre-1970";51466.67;3;52.87;"Other";"0"
"398";7697.57;162.27;"D";"Pre-1970";36933.69;4;70.11;"Red";"1"
"399";7004.77;154.7;"A";"Post-2000";88110.81;6;44.8;"Other";"0"
"400";4212.06;114.44;"D";"1970-2000";26999.33;3;40.41;"Other";"0"
"401";4459.9;210.64;"D";"1970-2000";80951.19;2;82.95;"Black";"1"
"402";4492.43;162.64;"B";"Post-2000";56881.17;2;99.99;"Black";"0"
"403";2733.22;148.39;"B";"Post-2000";27572.19;1;64.08;"Other";"0"
"404";5067.08;152.92;"C";"1970-2000";40717.68;4;68.46;"Black";"1"
"405";3182.69;134.7;"A";"Post-2000";29461.78;3;52.16;"Other";"0"
"406";6093.3;166.76;"B";"Post-2000";18026.32;6;73.62;"Black";"1"
"407";9950.13;199.16;"A";"Post-2000";104719.11;7;114.02;"Black";"0"
"408";9810.91;204.27;"D";"1970-2000";89862.96;6;37.96;"Other";"0"
"409";4468.92;135.57;"A";"Post-2000";47246.58;5;31.47;"Black";"0"
"410";4677.9;106.38;"B";"1970-2000";23406.01;7;79.54;"Black";"1"
"411";4790.43;158.68;"A";"Post-2000";55875.43;4;81.42;"Black";"0"
"412";2546.12;109.68;"A";"Post-2000";28442.58;1;116.19;"Red";"0"
"413";4730.32;187.43;"C";"1970-2000";58032.05;2;85.85;"Red";"0"
"414";8133.73;199.14;"E";"Pre-1970";65547.95;4;41.62;"Black";"0"
"415";7161.09;167.62;"B";"1970-2000";48298.99;5;64.73;"Red";"1"
"416";5261.08;102.12;"B";"1970-2000";42993.84;5;46.99;"Other";"1"
"417";4248.43;173.66;"A";"Post-2000";71992.46;3;39.36;"Red";"1"
"418";5999.22;194.75;"C";"1970-2000";71818.77;5;94.1;"Black";"0"
"419";4740.71;158.56;"A";"Post-2000";53623.09;4;82.9;"Black";"0"
"420";4277.04;184.32;"A";"Post-2000";41938.21;2;11.32;"Red";"1"
"421";5523.12;169.67;"E";"Pre-1970";67625.23;2;105.97;"Other";"1"
"422";4515.57;153.49;"E";"Pre-1970";48546.56;2;83.64;"Black";"0"
"423";5174.92;207.49;"B";"Post-2000";85108.35;3;94.31;"Other";"0"
"424";9036.83;140.07;"D";"1970-2000";24909.83;6;74.74;"Black";"1"
"425";3554.92;160.25;"A";"Post-2000";42699.85;1;106.33;"Other";"1"
"426";9392.07;173.24;"B";"Post-2000";72818.57;7;72.79;"Red";"0"
"427";5351.5;173.44;"A";"Post-2000";32506.17;5;82.02;"Black";"1"
"428";3583.95;134.17;"B";"Post-2000";20405.57;4;6.87;"Red";"0"
"429";6730.31;176.69;"A";"Post-2000";57219.42;7;65.69;"Black";"0"
"430";4331.82;114.57;"E";"Pre-1970";33918.94;3;98.37;"Red";"1"
"431";7653.32;117.56;"F";"Pre-1970";35589.1;5;67.74;"Black";"1"
"432";3114.06;157.72;"B";"Post-2000";62692.81;1;21.37;"Other";"0"
"433";9672.11;220.53;"B";"1970-2000";114872.18;7;37.96;"Black";"1"
"434";3901.31;175;"D";"1970-2000";45258.76;1;75.93;"Red";"0"
"435";5173.99;202.57;"A";"Post-2000";67931.73;4;73.16;"Black";"1"
"436";6032.87;139.06;"C";"1970-2000";17051.12;5;69.74;"Other";"0"
"437";9977.83;152.09;"E";"Pre-1970";46198.04;7;80.21;"Black";"0"
"438";3001.33;105.61;"C";"1970-2000";20279.85;2;47.65;"Other";"0"
"439";3242.85;84.6;"E";"Pre-1970";20619.04;1;91.8;"Other";"0"
"440";3133.97;167.12;"B";"Post-2000";83594.53;1;72.73;"Black";"0"
"441";11309.59;209.99;"D";"1970-2000";60728.94;6;49.87;"Black";"1"
"442";4258.91;147.74;"D";"Pre-1970";57482.65;2;89.4;"Other";"0"
"443";3008.59;117.2;"B";"Post-2000";34875.81;2;82.35;"Red";"1"
"444";3813.98;114.7;"E";"Pre-1970";24912.03;2;84.51;"Black";"0"
"445";3375.84;139.69;"C";"1970-2000";53816.02;1;25.76;"Other";"0"
"446";4609.26;110.74;"C";"1970-2000";26682.23;5;44.57;"Other";"1"
"447";7254.97;301.89;"C";"1970-2000";131780.59;3;53.02;"Red";"1"
"448";3616.29;136.15;"D";"Pre-1970";45946.1;1;16.42;"Red";"1"
"449";3885.32;148.58;"C";"1970-2000";51138.93;3;41.53;"Black";"0"
"450";7233.29;123.52;"E";"Pre-1970";21791.38;4;105.45;"Red";"1"
"451";8532.78;216.27;"D";"Pre-1970";56022.44;5;16.29;"Red";"0"
"452";13872.6;177.94;"F";"Pre-1970";73933.89;7;30.24;"Other";"1"
"453";4966.85;167.05;"A";"Post-2000";51051.08;3;46.95;"Red";"1"
"454";6466.68;162.2;"E";"Pre-1970";45478.5;4;26.5;"Other";"1"
"455";3308.88;199.28;"C";"Pre-1970";89720.43;1;24.16;"Other";"1"
"456";5291.57;117.78;"D";"Pre-1970";61296.24;3;35.48;"Black";"0"
"457";10844.93;204.71;"E";"Pre-1970";59009.08;6;49.8;"Black";"0"
"458";7016.36;180.84;"A";"Post-2000";71657.85;6;106.8;"Black";"0"
"459";5964.88;172.87;"B";"1970-2000";51732.93;4;40.74;"Red";"0"
"460";11990.67;300.27;"F";"Pre-1970";182501.78;5;66.34;"Black";"0"
"461";7785.31;176.43;"A";"Post-2000";51920.96;7;47.65;"Red";"0"
"462";7549.09;207.42;"B";"Post-2000";71897.8;5;22.12;"Red";"1"
"463";13448.7;217.15;"F";"Pre-1970";66996.59;7;43.54;"Red";"0"
"464";3363.91;150.15;"C";"1970-2000";61263.87;1;64.76;"Other";"1"
"465";2770.33;191.04;"A";"Post-2000";71322.58;1;96;"Black";"0"
"466";5711.11;156.37;"E";"Pre-1970";51935.95;3;107.51;"Red";"0"
"467";7567.14;111.87;"F";"Pre-1970";18560.35;5;59.38;"Black";"1"
"468";5110.33;113.28;"A";"Post-2000";30935.7;6;47;"Black";"0"
"469";5341.5;267.04;"D";"Pre-1970";127302.68;1;44.24;"Other";"1"
"470";6613.42;236.59;"C";"Pre-1970";105281.74;3;77.04;"Red";"0"
"471";3750.65;198.07;"B";"Post-2000";42222.46;2;96.6;"Red";"0"
"472";4380.56;64.27;"A";"Post-2000";14317.4;7;70.19;"Black";"1"
"473";6069.33;187.23;"D";"1970-2000";31513.44;2;7.96;"Red";"1"
"474";7089.03;111.93;"E";"Pre-1970";22528.62;6;102.61;"Black";"0"
"475";9478.24;153.04;"D";"1970-2000";20843.33;7;41.5;"Red";"0"
"476";4518.97;185.48;"F";"Pre-1970";68019.14;1;56;"Red";"1"
"477";4807.11;169.24;"E";"Pre-1970";46921.4;2;16.06;"Black";"1"
"478";6473.09;207.55;"B";"1970-2000";84734.35;4;102.28;"Black";"0"
"479";10302.44;160.56;"F";"Pre-1970";24430.61;7;39.69;"Red";"1"
"480";3191.09;117.44;"C";"1970-2000";28232.51;1;19.42;"Black";"0"
"481";10697.98;189.38;"F";"Pre-1970";59218.77;6;37.59;"Other";"0"
"482";7981.47;152.17;"C";"Pre-1970";74641.21;7;106.48;"Other";"1"
"483";4315.58;127.57;"C";"1970-2000";41023.15;3;69.03;"Red";"0"
"484";4303.3;148.19;"B";"Post-2000";28737.09;3;107.45;"Red";"1"
"485";8132.62;230.57;"F";"Pre-1970";102151.22;3;86.23;"Black";"0"
"486";5448.93;207.53;"E";"Pre-1970";94652.19;1;36.05;"Other";"0"
"487";4295.48;182.56;"A";"Post-2000";71381.25;3;58.21;"Red";"0"
"488";7354.8;181.52;"A";"Post-2000";63994.52;7;70.28;"Red";"1"
"489";5959.93;153.04;"B";"Post-2000";25911.22;5;68.16;"Red";"0"
"490";3126.51;76.31;"C";"1970-2000";17801.08;3;58.31;"Black";"0"
"491";5044.34;243.91;"C";"1970-2000";115363;1;97.23;"Red";"0"
"492";3219.22;121.15;"D";"Pre-1970";50749.07;1;16.93;"Black";"0"
"493";4117.02;171.14;"A";"Post-2000";30604.75;2;117.13;"Red";"1"
"494";6509.74;227.2;"B";"Post-2000";88076.02;3;91.95;"Other";"0"
"495";10722.36;132.57;"F";"Pre-1970";33635.28;7;16.31;"Other";"0"
"496";5102.42;172.57;"B";"1970-2000";36066.07;4;108.81;"Red";"0"
"497";3573.29;152.98;"D";"Pre-1970";54156.78;1;34;"Black";"0"
"498";3556.57;72.48;"D";"Pre-1970";23666.32;4;9.12;"Red";"0"
"499";4569.64;106.26;"A";"Post-2000";35379.4;5;82.24;"Black";"0"
"500";4084.35;130.73;"A";"Post-2000";27521.71;3;5.3;"Black";"0"
"501";5521.79;167.1;"D";"Pre-1970";75250.15;3;82.24;"Other";"0"
"502";3419.67;167.72;"B";"1970-2000";51465.51;2;111.94;"Black";"0"
"503";6670.02;190.92;"E";"Pre-1970";38956.66;3;68.82;"Other";"0"
"504";4235.55;188.46;"D";"Pre-1970";80394.65;1;93.91;"Other";"0"
"505";6327.11;153.52;"A";"Post-2000";43457.41;7;118.85;"Black";"1"
"506";7423.48;171.86;"F";"Pre-1970";40269.22;3;47.85;"Black";"1"
"507";3776.86;202.47;"C";"1970-2000";47129.86;1;34.76;"Black";"0"
"508";2591.52;77.88;"C";"1970-2000";33181.61;1;22.94;"Other";"1"
"509";4764.45;175.39;"F";"Pre-1970";45509.77;2;12.87;"Black";"0"
"510";8685.35;161.54;"B";"Post-2000";67442.66;7;100.76;"Red";"0"
"511";5655.06;157.73;"D";"1970-2000";48613.11;5;29.1;"Other";"1"
"512";4676.53;160.23;"C";"1970-2000";92190.12;5;47.34;"Other";"1"
"513";5296.73;123.63;"A";"Post-2000";33961.74;6;84.69;"Other";"0"
"514";4876.85;177.47;"C";"1970-2000";38605.26;2;27.23;"Red";"0"
"515";3567.07;215.29;"A";"Post-2000";80935.01;2;28.52;"Other";"0"
"516";2810.83;105.21;"A";"Post-2000";25773.22;4;113.72;"Other";"0"
"517";5785.87;132.57;"C";"1970-2000";23529.33;5;79.75;"Other";"0"
"518";5899.78;161.56;"C";"1970-2000";59277.86;4;9.13;"Black";"0"
"519";6396.76;102.96;"C";"1970-2000";36901.58;6;82.11;"Other";"1"
"520";3253.29;116.54;"D";"1970-2000";28548.04;1;31.16;"Other";"0"
"521";13516.84;168.96;"E";"Pre-1970";29224.01;7;21.76;"Other";"1"
"522";5565.14;163.71;"C";"Pre-1970";63368.16;2;112.2;"Red";"1"
"523";3895.21;109.67;"C";"1970-2000";32529.59;3;12.12;"Other";"0"
"524";8584.12;169.07;"D";"Pre-1970";43532.23;6;6.36;"Other";"0"
"525";6530.08;135.79;"B";"Post-2000";31146.95;7;76.74;"Red";"0"
"526";3374.3;144.96;"A";"Post-2000";53933.39;3;97.47;"Other";"0"
"527";9654.65;142.7;"B";"Post-2000";32875.89;7;30.63;"Black";"0"
"528";3083.32;93.15;"B";"Post-2000";54310.41;3;21.52;"Red";"1"
"529";2839.92;158.14;"C";"1970-2000";34661.39;1;119.1;"Red";"0"
"530";3972.49;199.93;"C";"1970-2000";102295.57;1;99.58;"Other";"0"
"531";5759.18;182.31;"A";"Post-2000";53153.28;4;49.05;"Black";"1"
"532";8031.88;165.3;"B";"Post-2000";19166.68;7;39.16;"Black";"0"
"533";12159.96;214.3;"F";"Pre-1970";82348.76;6;85.03;"Black";"1"
"534";6104.46;150.53;"F";"Pre-1970";42891.48;4;49.03;"Black";"1"
"535";7873.77;122.62;"D";"1970-2000";49143.86;6;105.83;"Black";"0"
"536";2540.12;160.88;"A";"Post-2000";82858.97;1;113.8;"Black";"0"
"537";5004.19;160.77;"C";"1970-2000";53242.91;1;13.74;"Black";"0"
"538";4583.27;239.52;"B";"Post-2000";140451.21;2;54.66;"Other";"1"
"539";3713.41;130.9;"F";"Pre-1970";35001.61;1;55.47;"Other";"0"
"540";5011.48;131.41;"C";"1970-2000";51978.39;5;73.75;"Other";"0"
"541";9590.57;206.18;"C";"1970-2000";54930.42;7;13.74;"Other";"0"
"542";4684.53;161.98;"B";"Post-2000";63345.38;4;71.82;"Black";"1"
"543";6256.08;182.42;"A";"Post-2000";64477.52;5;77.93;"Black";"0"
"544";13051.32;172.46;"E";"Pre-1970";56778.56;7;60.88;"Black";"0"
"545";5837.58;133.59;"A";"Post-2000";25361.21;6;88.35;"Red";"0"
"546";2543.26;116.92;"C";"1970-2000";36826.88;2;10.32;"Other";"1"
"547";6923.5;159.3;"C";"1970-2000";45796.7;6;113.63;"Red";"1"
"548";6428.88;158.73;"B";"Post-2000";35510.29;5;48.21;"Other";"0"
"549";4718.71;138.76;"D";"Pre-1970";51275.3;2;38.02;"Black";"0"
"550";7832.69;205.37;"E";"Pre-1970";30995.8;5;105.92;"Red";"0"
"551";4825.84;174.25;"A";"Post-2000";66716.15;3;43.9;"Red";"0"
"552";3024.73;149.31;"A";"Post-2000";48697.97;2;63.76;"Other";"0"
"553";3752.88;148.82;"C";"1970-2000";56756.71;1;98.3;"Red";"0"
"554";4813.45;181.18;"C";"Pre-1970";40144.36;2;70.4;"Red";"0"
"555";5690.14;206.09;"C";"1970-2000";32636.65;3;95.84;"Black";"1"
"556";6818.88;186.3;"B";"1970-2000";85556.79;5;101.62;"Red";"0"
"557";3677.77;116.34;"B";"Post-2000";30087.69;3;111;"Red";"1"
"558";6277.1;124.45;"D";"Pre-1970";30940.69;6;110.03;"Black";"0"
"559";6470.75;105.19;"B";"Post-2000";32587.57;6;119.99;"Black";"1"
"560";11377.27;261.3;"C";"1970-2000";100669.2;6;80.6;"Black";"0"
"561";3628.42;132.16;"C";"1970-2000";42313.65;2;36.09;"Other";"0"
"562";7539.3;150.67;"E";"Pre-1970";73142.4;6;46.76;"Red";"0"
"563";2936.71;101.62;"D";"1970-2000";27934.42;1;32.09;"Black";"1"
"564";7455.3;134.53;"C";"1970-2000";36649.11;7;49.82;"Black";"1"
"565";8034.73;113.31;"C";"1970-2000";41290.29;7;83.95;"Other";"0"
"566";5430.82;178.84;"C";"1970-2000";59645.67;3;55.44;"Other";"1"
"567";7996.17;126.65;"E";"Pre-1970";38694.04;7;42.53;"Black";"0"
"568";10189;196.73;"C";"1970-2000";60685.09;7;53.95;"Red";"0"
"569";6334.93;178.67;"E";"Pre-1970";46664.9;4;59.14;"Black";"1"
"570";6469.75;162.41;"B";"1970-2000";48103.75;5;108.1;"Red";"0"
"571";12268.51;246.24;"E";"Pre-1970";115213.48;7;102.09;"Other";"0"
"572";2962.51;144.78;"A";"Post-2000";32703.58;2;75.84;"Other";"1"
"573";6922.54;174.98;"C";"Pre-1970";68794.28;4;81.32;"Other";"1"
"574";3932.15;177.19;"A";"Post-2000";72678.61;1;65.4;"Black";"1"
"575";6662.96;220.47;"B";"Post-2000";93931.74;3;13.78;"Other";"1"
"576";6838.49;145.65;"E";"Pre-1970";51320.93;5;104.28;"Red";"1"
"577";4763.82;150.13;"A";"Post-2000";49654.94;5;117.49;"Black";"0"
"578";12605.86;146.45;"F";"Pre-1970";47523.95;6;41.91;"Red";"0"
"579";9026.15;167.91;"B";"Post-2000";61196.98;7;89.18;"Red";"0"
"580";3506.23;138.5;"D";"Pre-1970";58380.88;1;11.06;"Other";"0"
"581";9083.17;152.08;"E";"Pre-1970";39072.82;7;30.01;"Red";"0"
"582";4113.22;196.29;"B";"Post-2000";66085.14;1;111.45;"Red";"0"
"583";3195.34;192.41;"A";"Post-2000";57951.23;2;17.16;"Red";"1"
"584";7198.98;129.09;"B";"Post-2000";60782.26;7;50.57;"Black";"0"
"585";6523.53;265.93;"A";"Post-2000";157426;3;34;"Black";"0"
"586";4286.25;193.49;"C";"1970-2000";50245.95;1;65.59;"Black";"0"
"587";9131.37;190.95;"A";"Post-2000";35200.53;7;71.5;"Red";"0"
"588";5511.04;148.01;"F";"Pre-1970";53637.11;3;95.99;"Black";"0"
"589";6365.12;148.17;"D";"Pre-1970";39359.63;5;37.58;"Black";"0"
"590";6518.91;118.17;"B";"1970-2000";31361.63;7;67.01;"Red";"1"
"591";4120.88;90.6;"F";"Pre-1970";37442.99;3;66.44;"Red";"0"
"592";6320.65;170.06;"B";"1970-2000";46611.4;5;6.18;"Red";"0"
"593";8218.97;159.89;"C";"1970-2000";68710.18;6;63.17;"Other";"0"
"594";7421.1;173.89;"B";"1970-2000";52085.78;6;41.42;"Other";"0"
"595";8230.66;170.62;"B";"Post-2000";30611.31;7;94.32;"Black";"0"
"596";4080.75;136.37;"A";"Post-2000";41355.73;4;57.61;"Other";"0"
"597";6692;161.03;"D";"1970-2000";22284.07;7;110.28;"Black";"0"
"598";5786.01;135.99;"B";"Post-2000";40497.58;6;25.69;"Other";"0"
"599";3957.91;171.76;"B";"Post-2000";24583.17;3;75.4;"Black";"0"
"600";3740.23;149.31;"C";"1970-2000";23729.27;2;80.4;"Red";"1"
"601";9939.76;185.21;"B";"Post-2000";68388.65;6;62.76;"Other";"0"
"602";4680.01;161.16;"A";"Post-2000";40939.04;3;13.05;"Black";"1"
"603";9865.81;152.18;"D";"1970-2000";44421.56;7;6.91;"Red";"0"
"604";2936.52;170.93;NA;"Post-2000";55838.94;2;59.45;"Red";"1"
"605";6712.33;140.4;"D";"Pre-1970";36126.17;6;37.27;"Red";"0"
"606";8746.62;130.45;"D";"1970-2000";40339.77;7;92.49;"Black";"1"
"607";8305.37;180.39;"B";"Post-2000";34281.13;7;112.19;"Other";"0"
"608";8536.88;117.66;"F";"Pre-1970";37835.33;6;12.75;"Black";"1"
"609";7985.5;153.58;"C";"Pre-1970";27657.57;6;42.96;"Black";"1"
"610";5615.39;225.48;"F";"Pre-1970";63245.13;2;82.12;"Black";"0"
"611";7257.57;131.56;"B";"1970-2000";58609.62;6;104.57;"Red";"1"
"612";2504.97;110.88;"B";"Post-2000";31144.85;1;54.76;"Black";"0"
"613";5610.27;189.31;"D";"1970-2000";98885.89;3;105.9;"Other";"0"
"614";4870.61;147.95;"A";"Post-2000";39637.55;6;38.76;"Red";"0"
"615";2638.11;133.24;"B";"1970-2000";38735.28;2;77.92;"Red";"0"
"616";8045.24;148.68;"F";"Pre-1970";22590.86;4;116.76;"Red";"0"
"617";6036.42;183.83;"F";"Pre-1970";45043.88;3;43.11;"Black";"0"
"618";6908.1;177.2;"D";"Pre-1970";29437.62;4;67.43;"Black";"0"
"619";6450.71;151.38;"C";"Pre-1970";51954.49;5;98.98;"Red";"1"
"620";9681.2;155.87;"E";"Pre-1970";48432.99;7;76.01;"Other";"0"
"621";9473;177.78;"D";"1970-2000";65305.63;7;71.42;"Black";"0"
"622";4654.45;110.34;"E";"Pre-1970";32749.08;3;103.27;"Black";"1"
"623";3912.8;91.45;"B";"1970-2000";20990.74;5;113.37;"Red";"1"
"624";3635.86;132.85;"B";"Post-2000";52866.26;2;101.55;"Black";"1"
"625";4097.63;160.05;"C";"1970-2000";54101.36;2;45.08;"Black";"0"
"626";5476.48;186.2;"F";"Pre-1970";79045.95;1;69.34;"Red";"0"
"627";9315.13;151.99;"E";"Pre-1970";41215.36;6;99.27;"Black";"0"
"628";8846.03;160.16;"D";"Pre-1970";55537.07;7;35.54;"Red";"1"
"629";3588.63;135.75;"A";"Post-2000";54560.47;2;110.13;"Red";"0"
"630";6309.39;94.62;"F";"Pre-1970";35798.92;5;32.68;"Black";"0"
"631";3638.98;98.26;"A";"Post-2000";22015.7;3;19.89;"Black";"0"
"632";7193.34;155.88;"E";"Pre-1970";32530.71;5;87.77;"Black";"0"
"633";3185.89;120.47;"D";"Pre-1970";47419.24;1;97.3;"Other";"1"
"634";5903.81;163.99;"E";"Pre-1970";47143.12;3;108.46;"Other";"0"
"635";3715.32;114.41;"F";"Pre-1970";23919.43;1;22.63;"Other";"0"
"636";3326.84;139.93;"B";"Post-2000";42535.88;2;23.41;"Black";"0"
"637";7675.55;147.15;"A";"Post-2000";26817.41;6;91.23;"Other";"0"
"638";7086.72;162.18;"E";"Pre-1970";62017.53;4;91.68;"Red";"0"
"639";3131.05;171.14;"A";"Post-2000";45933.83;1;58.76;"Red";"1"
"640";11458.97;176.49;"D";"Pre-1970";35420;7;81.59;"Black";"0"
"641";8367.9;199.41;"E";"Pre-1970";58412.46;5;48.81;"Black";"0"
"642";5145.93;111.81;"A";"Post-2000";29999.45;6;99.76;"Red";"0"
"643";3747.88;194.72;"A";"Post-2000";74964.59;1;20.6;"Red";"0"
"644";10437.13;143.49;"F";"Pre-1970";31370.42;6;114.22;"Black";"1"
"645";4336.39;92.88;"A";"Post-2000";19667.84;6;102.28;"Other";"0"
"646";3240.85;125.46;"B";"1970-2000";29352.72;1;82.46;"Other";"0"
"647";4956.62;169.47;"C";"1970-2000";37782.24;4;34;"Other";"1"
"648";6615.18;168.64;"A";"Post-2000";40968.18;6;21.82;"Black";"0"
"649";4688.7;142.61;"E";"Pre-1970";30955.62;2;17.57;"Black";"0"
"650";4198.7;152.04;"D";"1970-2000";37169.42;3;57.3;"Other";"0"
"651";2940.22;145.63;"C";"1970-2000";50170.19;1;61.94;"Black";"0"
"652";7325.74;172.96;"E";"Pre-1970";49819.61;5;114.5;"Other";"0"
"653";5674.11;165.3;"B";"1970-2000";46615.36;5;65.52;"Other";"1"
"654";4713.16;139.19;"F";"Pre-1970";29383.17;3;112.75;"Black";"1"
"655";5656.81;189.35;"A";"Post-2000";48816.39;5;108.85;"Red";"0"
"656";4749.55;186.99;"E";"Pre-1970";83408.12;1;8.64;"Other";"1"
"657";5378.9;114.69;"D";"Pre-1970";30828.79;6;104.32;"Other";"0"
"658";7675.05;228.02;"C";"1970-2000";105218.05;3;73.53;"Other";"1"
"659";12130.73;163.54;"D";"Pre-1970";65483.34;7;48.07;"Black";"0"
"660";4160.21;100.84;"C";"1970-2000";25115.53;4;38.72;"Black";"1"
"661";4317.35;92.63;"A";"Post-2000";28839.99;6;34.34;"Red";"1"
"662";5913.3;142.38;"C";"1970-2000";38695.69;5;76.82;"Red";"0"
"663";10804.22;185.77;"D";"Pre-1970";44311.89;7;89.61;"Other";"1"
"664";7906.19;149.22;"F";"Pre-1970";29410.82;4;62.07;"Other";"0"
"665";2869.26;156.23;"C";"1970-2000";33112.32;2;56.69;"Red";"1"
"666";7404.15;177.47;"A";"Post-2000";52540.52;6;71.15;"Black";"1"
"667";7312.73;128.98;"E";"Pre-1970";50266.71;6;46.57;"Red";"0"
"668";6562.03;105.17;"B";"1970-2000";31583.04;6;37.99;"Black";"0"
"669";3479.86;156.39;"B";"1970-2000";35850.47;1;84.88;"Black";"0"
"670";4356.57;126.54;"D";"1970-2000";29399.19;4;24.9;"Red";"1"
"671";4704.31;87.48;"C";"1970-2000";13746.16;6;101.23;"Other";"1"
"672";5898.97;117.38;"C";"1970-2000";33960.03;5;69.63;"Red";"1"
"673";2669.16;125.46;"A";"Post-2000";33271.59;2;21.99;"Other";"0"
"674";3565.48;191.22;"B";"Post-2000";42291.33;1;17.06;"Other";"0"
